Wave number,Location,LAT,LON,Province,Korean Name,Date,Time,Source
First Wave,"Dongsan-ri, Gyodong-myeon, Ganghwa-gun",37.78603,126.26117,Incheon Metropolitan City,강화군 교동면 동산리,"May 29, 2024",11:30 AM,https://mobile.newsis.com/view.html?ar_id=NISX20240529_0002753003
First Wave,"Gwangju, Gyeonggi Province",37.4290844,127.255189,Gyeonggi Province,광주,"May 29, 2024",,https://mobile.newsis.com/view.html?ar_id=NISX20240529_0002753003
First Wave,"Gwangmyeong, Gyeonggi Province",38.013769,127.238747, Gyeonggi Province,광명,"May 29, 2024",,https://mobile.newsis.com/view.html?ar_id=NISX20240529_0002753003
First Wave,"Hwaseong, Gyeonggi Province",37.8577547,126.7829539,Gyeonggi Province,화성,"May 29, 2024",,https://mobile.newsis.com/view.html?ar_id=NISX20240529_0002753003
First Wave,"Cheorwon, Gangwon Province",38.1468023,127.3133,Gangwon Province,강원 철원,"May 29, 2024",2:00 PM,https://www.news1.kr/articles/5430613
First Wave,"Inje, Gangwon Province",38.0694,128.1706,Gangwon Province,강원 인제,"May 29, 2024",,https://www.news1.kr/articles/5430613
First Wave,"Hwacheon, Gangwon Province",38.1063,127.708,Gangwon Province,강원 화천,"May 29, 2024",,https://www.news1.kr/articles/5430613
First Wave,"Wonju, Gangwon Province",37.7687254,128.8711752,Gangwon Province,강원 원주,"May 29, 2024",,https://www.news1.kr/articles/5430613
First Wave,"Dongsan-ri, Gyodong-myeon, Ganghwa-gun",37.78603,126.26117,Incheon Metropolitan City,강화군 교동면 동산리,"May 29, 2024",,https://mobile.newsis.com/view.html?ar_id=NISX20240529_0002753003
First Wave,"Junggak-dong, Jongno-gu, Twin Tree Towers A, Seoul",37.566,126.9784,Seoul Special City,종로구 중학동 트윈트리타워 A동,"May 29, 2024",,https://www.hankyung.com/article/2024052919367
First Wave,"Jaedong Elementary School, Gahoe-dong, Jongno-gu, Seoul",37.5797185,126.9856138,Seoul Special City,서울 종로구 가회동 재동초등학교,"May 29, 2024",12:42 PM,https://www.hankyung.com/article/2024052919367
First Wave,"Mapo-gu, Seoul",37.566571,126.9015317,Seoul Special City,서울 마포구,"May 29, 2024",,https://www.hankyung.com/article/2024052919367
First Wave,"Yeongdeungpo-gu, Seoul",37.5262,126.8959,Seoul Special City,서울 영등포구 ,"May 29, 2024",,https://www.hankyung.com/article/2024052919367
First Wave,"Jongno-gu, Seoul Government Complex",37.5748508,126.9760746,Seoul Special City,종로구 정부서울청사,"May 29, 2024",1:30 PM,https://www.hankyung.com/article/2024052919367
First Wave,"Salmi-myeon, Chungju-si",36.9115864,127.9931536,Chungcheongbuk Province, 충주시 살미면,"May 29, 2024",2:10 PM,https://www.inews365.com/news/article.html?no=816563
First Wave,"Gangnae-myeon, Heungdeok-gu, Cheongju-si",36.6104608,127.3638544,Chungcheongbuk Province,청주시 흥덕구 강내면,"May 29, 2024",,https://www.inews365.com/news/article.html?no=816563
